runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,num_agents
0.001075,0,1,348,1059,345,345,345,345,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.086855,CBS with AStar,agents.txt:,3
0.003619,0,1,1088,4329,1085,1085,1085,1085,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.084097,CBS with AStar,agents.txt:,3
0.001391,0,1,473,1720,470,470,470,470,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.08576,CBS with AStar,agents.txt:,3
0.001154,0,1,408,1463,405,405,405,405,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.074337,CBS with AStar,agents.txt:,3
0.002041,0,1,568,2190,565,565,565,565,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.079273,CBS with AStar,agents.txt:,3
0.002929,0,1,1063,4059,1060,1060,1060,1060,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.087762,CBS with AStar,agents.txt:,3
0.002098,0,1,774,2595,771,771,771,771,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.073966,CBS with AStar,agents.txt:,3
0.001872,0,1,801,2790,798,798,798,798,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.064009,CBS with AStar,agents.txt:,3
0.002171,0,1,805,2822,802,802,802,802,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.069963,CBS with AStar,agents.txt:,3
0.001905,0,1,595,1946,591,591,591,591,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.105729,CBS with AStar,agents.txt:,4
